elapsed_time,V1
'00:00:35.169',0.260
'00:00:35.172',0.285
'00:00:35.175',0.280
'00:00:35.178',0.275
'00:00:35.181',0.275
'00:00:35.183',0.255
'00:00:35.186',0.245
'00:00:35.189',0.235
'00:00:35.192',0.250
'00:00:35.194',0.265
'00:00:35.197',0.260
'00:00:35.200',0.245
'00:00:35.203',0.235
'00:00:35.206',0.245
'00:00:35.208',0.250
'00:00:35.211',0.255
'00:00:35.214',0.255
'00:00:35.217',0.230
'00:00:35.219',0.230
'00:00:35.222',0.225
'00:00:35.225',0.240
'00:00:35.228',0.230
'00:00:35.231',0.220
'00:00:35.233',0.220
'00:00:35.236',0.205
'00:00:35.239',0.210
'00:00:35.242',0.205
'00:00:35.244',0.215
'00:00:35.247',0.205
'00:00:35.250',0.190
'00:00:35.253',0.180
'00:00:35.256',0.190
'00:00:35.258',0.200
'00:00:35.261',0.215
'00:00:35.264',0.205
'00:00:35.267',0.195
'00:00:35.269',0.175
'00:00:35.272',0.190
'00:00:35.275',0.205
'00:00:35.278',0.195
'00:00:35.281',0.185
'00:00:35.283',0.165
'00:00:35.286',0.155
'00:00:35.289',0.175
'00:00:35.292',0.195
'00:00:35.294',0.185
'00:00:35.297',0.185
'00:00:35.300',0.170
'00:00:35.303',0.165
'00:00:35.306',0.175
'00:00:35.308',0.180
'00:00:35.311',0.175
'00:00:35.314',0.185
'00:00:35.317',0.190
'00:00:35.319',0.170
'00:00:35.322',0.175
'00:00:35.325',0.180
'00:00:35.328',0.190
'00:00:35.331',0.185
'00:00:35.333',0.165
'00:00:35.336',0.165
'00:00:35.339',0.175
'00:00:35.342',0.180
'00:00:35.344',0.175
'00:00:35.347',0.185
'00:00:35.350',0.170
'00:00:35.353',0.165
'00:00:35.356',0.160
'00:00:35.358',0.180
'00:00:35.361',0.170
'00:00:35.364',0.195
'00:00:35.367',0.165
'00:00:35.369',0.165
'00:00:35.372',0.165
'00:00:35.375',0.175
'00:00:35.378',0.180
'00:00:35.381',0.165
'00:00:35.383',0.150
'00:00:35.386',0.145
'00:00:35.389',0.145
'00:00:35.392',0.160
'00:00:35.394',0.155
'00:00:35.397',0.160
'00:00:35.400',0.150
'00:00:35.403',0.130
'00:00:35.406',0.145
'00:00:35.408',0.150
'00:00:35.411',0.155
'00:00:35.414',0.155
'00:00:35.417',0.150
'00:00:35.419',0.155
'00:00:35.422',0.140
'00:00:35.425',0.155
'00:00:35.428',0.150
'00:00:35.431',0.150
'00:00:35.433',0.130
'00:00:35.436',0.140
'00:00:35.439',0.150
'00:00:35.442',0.170
'00:00:35.444',0.170
'00:00:35.447',0.150
'00:00:35.450',0.150
'00:00:35.453',0.165
'00:00:35.456',0.180
'00:00:35.458',0.205
'00:00:35.461',0.220
'00:00:35.464',0.225
'00:00:35.467',0.210
'00:00:35.469',0.225
'00:00:35.472',0.225
'00:00:35.475',0.250
'00:00:35.478',0.255
'00:00:35.481',0.235
'00:00:35.483',0.210
'00:00:35.486',0.190
'00:00:35.489',0.185
'00:00:35.492',0.185
'00:00:35.494',0.190
'00:00:35.497',0.165
'00:00:35.500',0.155
'00:00:35.503',0.175
'00:00:35.506',0.165
'00:00:35.508',0.170
'00:00:35.511',0.170
'00:00:35.514',0.180
'00:00:35.517',0.155
'00:00:35.519',0.145
'00:00:35.522',0.145
'00:00:35.525',0.150
'00:00:35.528',0.140
'00:00:35.531',0.135
'00:00:35.533',0.120
'00:00:35.536',0.105
'00:00:35.539',0.120
'00:00:35.542',0.120
'00:00:35.544',0.110
'00:00:35.547',0.100
'00:00:35.550',0.095
'00:00:35.553',0.095
'00:00:35.556',0.090
'00:00:35.558',0.110
'00:00:35.561',0.100
'00:00:35.564',0.085
'00:00:35.567',0.085
'00:00:35.569',0.080
'00:00:35.572',0.095
'00:00:35.575',0.100
'00:00:35.578',0.115
'00:00:35.581',0.105
'00:00:35.583',0.095
'00:00:35.586',0.085
'00:00:35.589',0.085
'00:00:35.592',0.085
'00:00:35.594',0.085
'00:00:35.597',0.080
'00:00:35.600',0.075
'00:00:35.603',0.080
'00:00:35.606',0.080
'00:00:35.608',0.085
'00:00:35.611',0.090
'00:00:35.614',0.090
'00:00:35.617',0.075
'00:00:35.619',0.080
'00:00:35.622',0.065
'00:00:35.625',0.090
'00:00:35.628',0.085
'00:00:35.631',0.100
'00:00:35.633',0.095
'00:00:35.636',0.070
'00:00:35.639',0.050
'00:00:35.642',0.010
'00:00:35.644',-0.085
'00:00:35.647',-0.190
'00:00:35.650',-0.320
'00:00:35.653',-0.465
'00:00:35.656',-0.650
'00:00:35.658',-0.925
'00:00:35.661',-1.210
'00:00:35.664',-1.400
'00:00:35.667',-1.465
'00:00:35.669',-1.435
'00:00:35.672',-1.375
'00:00:35.675',-1.310
'00:00:35.678',-1.290
'00:00:35.681',-1.230
'00:00:35.683',-1.190
'00:00:35.686',-1.165
'00:00:35.689',-1.130
'00:00:35.692',-1.080
'00:00:35.694',-1.055
'00:00:35.697',-1.025
'00:00:35.700',-0.995
'00:00:35.703',-0.940
'00:00:35.706',-0.870
'00:00:35.708',-0.815
'00:00:35.711',-0.780
'00:00:35.714',-0.720
'00:00:35.717',-0.640
'00:00:35.719',-0.545
'00:00:35.722',-0.415
'00:00:35.725',-0.330
'00:00:35.728',-0.240
'00:00:35.731',-0.180
'00:00:35.733',-0.105
'00:00:35.736',-0.045
'00:00:35.739',0.040
'00:00:35.742',0.090
'00:00:35.744',0.150
'00:00:35.747',0.195
'00:00:35.750',0.230
'00:00:35.753',0.240
'00:00:35.756',0.260
'00:00:35.758',0.290
'00:00:35.761',0.295
'00:00:35.764',0.300
'00:00:35.767',0.300
'00:00:35.769',0.305
'00:00:35.772',0.305
'00:00:35.775',0.325
'00:00:35.778',0.335
'00:00:35.781',0.350
'00:00:35.783',0.340
'00:00:35.786',0.340
'00:00:35.789',0.360
'00:00:35.792',0.370
'00:00:35.794',0.370
'00:00:35.797',0.370
'00:00:35.800',0.370
'00:00:35.803',0.365
'00:00:35.806',0.375
'00:00:35.808',0.385
'00:00:35.811',0.395
'00:00:35.814',0.390
'00:00:35.817',0.380
'00:00:35.819',0.375
'00:00:35.822',0.380
'00:00:35.825',0.395
'00:00:35.828',0.415
'00:00:35.831',0.415
'00:00:35.833',0.390
'00:00:35.836',0.385
'00:00:35.839',0.385
'00:00:35.842',0.400
'00:00:35.844',0.400
'00:00:35.847',0.400
'00:00:35.850',0.415
'00:00:35.853',0.415
'00:00:35.856',0.420
'00:00:35.858',0.425
'00:00:35.861',0.420
'00:00:35.864',0.420
'00:00:35.867',0.410
'00:00:35.869',0.400
'00:00:35.872',0.410
'00:00:35.875',0.430
'00:00:35.878',0.425
'00:00:35.881',0.420
'00:00:35.883',0.405
'00:00:35.886',0.400
'00:00:35.889',0.420
'00:00:35.892',0.425
'00:00:35.894',0.410
'00:00:35.897',0.410
'00:00:35.900',0.385
'00:00:35.903',0.395
'00:00:35.906',0.405
'00:00:35.908',0.410
'00:00:35.911',0.400
'00:00:35.914',0.380
'00:00:35.917',0.380
'00:00:35.919',0.370
'00:00:35.922',0.365
'00:00:35.925',0.355
'00:00:35.928',0.350
'00:00:35.931',0.340
'00:00:35.933',0.345
'00:00:35.936',0.325
'00:00:35.939',0.330
'00:00:35.942',0.325
'00:00:35.944',0.310
'00:00:35.947',0.300
'00:00:35.950',0.280
'00:00:35.953',0.270
'00:00:35.956',0.260
'00:00:35.958',0.255
'00:00:35.961',0.250
'00:00:35.964',0.245
'00:00:35.967',0.230
'00:00:35.969',0.210
'00:00:35.972',0.210
'00:00:35.975',0.210
'00:00:35.978',0.200
'00:00:35.981',0.180
'00:00:35.983',0.155
'00:00:35.986',0.145
'00:00:35.989',0.130
'00:00:35.992',0.140
'00:00:35.994',0.120
'00:00:35.997',0.110
'00:00:36.000',0.100
'00:00:36.003',0.080
'00:00:36.006',0.075
'00:00:36.008',0.085
'00:00:36.011',0.070
'00:00:36.014',0.075
'00:00:36.017',0.055
'00:00:36.019',0.060
'00:00:36.022',0.065
'00:00:36.025',0.075
'00:00:36.028',0.055
'00:00:36.031',0.030
'00:00:36.033',0.020
'00:00:36.036',0.025
'00:00:36.039',0.030
'00:00:36.042',0.035
'00:00:36.044',0.035
'00:00:36.047',0.045
'00:00:36.050',0.025
'00:00:36.053',0.025
'00:00:36.056',0.035
'00:00:36.058',0.045
'00:00:36.061',0.035
'00:00:36.064',0.035
'00:00:36.067',0.030
'00:00:36.069',0.035
'00:00:36.072',0.065
'00:00:36.075',0.075
'00:00:36.078',0.085
'00:00:36.081',0.070
'00:00:36.083',0.065
'00:00:36.086',0.055
'00:00:36.089',0.055
'00:00:36.092',0.075
'00:00:36.094',0.070
'00:00:36.097',0.080
'00:00:36.100',0.060
'00:00:36.103',0.060
'00:00:36.106',0.075
'00:00:36.108',0.080
'00:00:36.111',0.090
'00:00:36.114',0.085
'00:00:36.117',0.070
'00:00:36.119',0.070
'00:00:36.122',0.085
'00:00:36.125',0.105
'00:00:36.128',0.095
'00:00:36.131',0.095
'00:00:36.133',0.100
'00:00:36.136',0.105
'00:00:36.139',0.110
'00:00:36.142',0.115
'00:00:36.144',0.110
'00:00:36.147',0.120
'00:00:36.150',0.115
'00:00:36.153',0.110
'00:00:36.156',0.115
'00:00:36.158',0.130
'00:00:36.161',0.135
'00:00:36.164',0.120
'00:00:36.167',0.120
'00:00:36.169',0.105
'00:00:36.172',0.105
'00:00:36.175',0.120
'00:00:36.178',0.125
'00:00:36.181',0.120
'00:00:36.183',0.110
'00:00:36.186',0.125
'00:00:36.189',0.130
'00:00:36.192',0.145
'00:00:36.194',0.145
'00:00:36.197',0.140
'00:00:36.200',0.120
'00:00:36.203',0.110
'00:00:36.206',0.115
'00:00:36.208',0.125
'00:00:36.211',0.130
'00:00:36.214',0.110
'00:00:36.217',0.110
'00:00:36.219',0.105
'00:00:36.222',0.110
'00:00:36.225',0.115
'00:00:36.228',0.115
'00:00:36.231',0.115
'00:00:36.233',0.105
'00:00:36.236',0.095
'00:00:36.239',0.115
'00:00:36.242',0.115
'00:00:36.244',0.120
'00:00:36.247',0.110
'00:00:36.250',0.100
'00:00:36.253',0.095
'00:00:36.256',0.100
'00:00:36.258',0.110
'00:00:36.261',0.125
'00:00:36.264',0.115
'00:00:36.267',0.100
'00:00:36.269',0.095
'00:00:36.272',0.100
'00:00:36.275',0.110
'00:00:36.278',0.100
'00:00:36.281',0.105
'00:00:36.283',0.105
'00:00:36.286',0.100
'00:00:36.289',0.090
'00:00:36.292',0.115
'00:00:36.294',0.095
'00:00:36.297',0.095
'00:00:36.300',0.075
'00:00:36.303',0.080
'00:00:36.306',0.085
'00:00:36.308',0.105
'00:00:36.311',0.115
'00:00:36.314',0.120
'00:00:36.317',0.105
'00:00:36.319',0.085
'00:00:36.322',0.080
'00:00:36.325',0.100
'00:00:36.328',0.095
'00:00:36.331',0.090
'00:00:36.333',0.085
'00:00:36.336',0.070
'00:00:36.339',0.080
'00:00:36.342',0.090
'00:00:36.344',0.105
'00:00:36.347',0.085
'00:00:36.350',0.085
'00:00:36.353',0.090
'00:00:36.356',0.100
'00:00:36.358',0.130
'00:00:36.361',0.135
'00:00:36.364',0.125
'00:00:36.367',0.100
'00:00:36.369',0.090
'00:00:36.372',0.090
'00:00:36.375',0.095
'00:00:36.378',0.100
'00:00:36.381',0.100
'00:00:36.383',0.085
'00:00:36.386',0.095
'00:00:36.389',0.130
'00:00:36.392',0.125
'00:00:36.394',0.110
'00:00:36.397',0.095
'00:00:36.400',0.065
'00:00:36.403',0.065
'00:00:36.406',0.090
'00:00:36.408',0.090
'00:00:36.411',0.095
'00:00:36.414',0.080
'00:00:36.417',0.075
'00:00:36.419',0.080
'00:00:36.422',0.100
'00:00:36.425',0.105
'00:00:36.428',0.100
'00:00:36.431',0.095
'00:00:36.433',0.095
'00:00:36.436',0.090
'00:00:36.439',0.085
'00:00:36.442',0.085
'00:00:36.444',0.090
'00:00:36.447',0.085
'00:00:36.450',0.085
'00:00:36.453',0.095
'00:00:36.456',0.095
'00:00:36.458',0.110
'00:00:36.461',0.100
'00:00:36.464',0.100
'00:00:36.467',0.095
'00:00:36.469',0.075
'00:00:36.472',0.100
'00:00:36.475',0.110
'00:00:36.478',0.120
'00:00:36.481',0.140
'00:00:36.483',0.135
'00:00:36.486',0.140
'00:00:36.489',0.165
'00:00:36.492',0.180
'00:00:36.494',0.190
'00:00:36.497',0.190
'00:00:36.500',0.185
'00:00:36.503',0.185
'00:00:36.506',0.205
'00:00:36.508',0.205
'00:00:36.511',0.200
'00:00:36.514',0.175
'00:00:36.517',0.170
'00:00:36.519',0.145
'00:00:36.522',0.150
'00:00:36.525',0.150
'00:00:36.528',0.145
'00:00:36.531',0.130
'00:00:36.533',0.130
'00:00:36.536',0.130
'00:00:36.539',0.150
'00:00:36.542',0.165
'00:00:36.544',0.170
'00:00:36.547',0.155
'00:00:36.550',0.135
'00:00:36.553',0.125
'00:00:36.556',0.120
'00:00:36.558',0.135
'00:00:36.561',0.125
'00:00:36.564',0.130
'00:00:36.567',0.105
'00:00:36.569',0.100
'00:00:36.572',0.100
'00:00:36.575',0.100
'00:00:36.578',0.095
'00:00:36.581',0.090
'00:00:36.583',0.075
'00:00:36.586',0.085
'00:00:36.589',0.095
'00:00:36.592',0.110
'00:00:36.594',0.110
'00:00:36.597',0.100
'00:00:36.600',0.100
'00:00:36.603',0.095
'00:00:36.606',0.095
'00:00:36.608',0.100
'00:00:36.611',0.090
'00:00:36.614',0.090
'00:00:36.617',0.090
'00:00:36.619',0.090
'00:00:36.622',0.100
'00:00:36.625',0.095
'00:00:36.628',0.090
'00:00:36.631',0.115
'00:00:36.633',0.095
'00:00:36.636',0.100
'00:00:36.639',0.095
'00:00:36.642',0.105
'00:00:36.644',0.110
'00:00:36.647',0.080
'00:00:36.650',0.080
'00:00:36.653',0.085
'00:00:36.656',0.095
'00:00:36.658',0.110
'00:00:36.661',0.105
'00:00:36.664',0.090
'00:00:36.667',0.090
'00:00:36.669',0.095
'00:00:36.672',0.085
'00:00:36.675',0.105
'00:00:36.678',0.100
'00:00:36.681',0.110
'00:00:36.683',0.120
'00:00:36.686',0.105
'00:00:36.689',0.060
'00:00:36.692',-0.005
'00:00:36.694',-0.105
'00:00:36.697',-0.225
'00:00:36.700',-0.345
'00:00:36.703',-0.490
'00:00:36.706',-0.665
'00:00:36.708',-0.870
'00:00:36.711',-1.150
'00:00:36.714',-1.370
'00:00:36.717',-1.495
'00:00:36.719',-1.470
'00:00:36.722',-1.395
'00:00:36.725',-1.345
'00:00:36.728',-1.300
'00:00:36.731',-1.240
'00:00:36.733',-1.200
'00:00:36.736',-1.170
'00:00:36.739',-1.145
'00:00:36.742',-1.130
'00:00:36.744',-1.090
'00:00:36.747',-1.055
'00:00:36.750',-1.025
'00:00:36.753',-0.990
'00:00:36.756',-0.930
'00:00:36.758',-0.880
'00:00:36.761',-0.840
'00:00:36.764',-0.790
'00:00:36.767',-0.760
'00:00:36.769',-0.690
'00:00:36.772',-0.585
'00:00:36.775',-0.480
'00:00:36.778',-0.390
'00:00:36.781',-0.325
'00:00:36.783',-0.265
'00:00:36.786',-0.185
'00:00:36.789',-0.105
'00:00:36.792',-0.030
'00:00:36.794',0.025
'00:00:36.797',0.075
'00:00:36.800',0.130
'00:00:36.803',0.175
'00:00:36.806',0.240
'00:00:36.808',0.295
'00:00:36.811',0.315
'00:00:36.814',0.325
'00:00:36.817',0.320
'00:00:36.819',0.340
'00:00:36.822',0.360
'00:00:36.825',0.365
'00:00:36.828',0.375
'00:00:36.831',0.360
'00:00:36.833',0.375
'00:00:36.836',0.385
'00:00:36.839',0.405
'00:00:36.842',0.435
'00:00:36.844',0.440
'00:00:36.847',0.445
'00:00:36.850',0.435
'00:00:36.853',0.420
'00:00:36.856',0.415
'00:00:36.858',0.430
'00:00:36.861',0.425
'00:00:36.864',0.425
'00:00:36.867',0.410
'00:00:36.869',0.410
'00:00:36.872',0.415
'00:00:36.875',0.430
'00:00:36.878',0.415
'00:00:36.881',0.390
'00:00:36.883',0.360
'00:00:36.886',0.355
'00:00:36.889',0.365
'00:00:36.892',0.380
'00:00:36.894',0.380
'00:00:36.897',0.375
'00:00:36.900',0.370
'00:00:36.903',0.355
'00:00:36.906',0.360
'00:00:36.908',0.375
'00:00:36.911',0.375
'00:00:36.914',0.370
'00:00:36.917',0.365
'00:00:36.919',0.370
'00:00:36.922',0.370
'00:00:36.925',0.380
'00:00:36.928',0.375
'00:00:36.931',0.370
'00:00:36.933',0.365
'00:00:36.936',0.365
'00:00:36.939',0.375
'00:00:36.942',0.395
'00:00:36.944',0.390
'00:00:36.947',0.385
'00:00:36.950',0.370
'00:00:36.953',0.365
'00:00:36.956',0.365
'00:00:36.958',0.370
'00:00:36.961',0.365
'00:00:36.964',0.370
'00:00:36.967',0.355
'00:00:36.969',0.345
'00:00:36.972',0.365
'00:00:36.975',0.365
'00:00:36.978',0.365
'00:00:36.981',0.345
'00:00:36.983',0.330
'00:00:36.986',0.315
'00:00:36.989',0.335
'00:00:36.992',0.335
'00:00:36.994',0.320
'00:00:36.997',0.340
'00:00:37.000',0.315
'00:00:37.003',0.310
'00:00:37.006',0.310
'00:00:37.008',0.320
'00:00:37.011',0.310
'00:00:37.014',0.300
'00:00:37.017',0.270
'00:00:37.019',0.255
'00:00:37.022',0.270
'00:00:37.025',0.260
'00:00:37.028',0.250
'00:00:37.031',0.230
'00:00:37.033',0.225
'00:00:37.036',0.215
'00:00:37.039',0.215
'00:00:37.042',0.190
'00:00:37.044',0.175
'00:00:37.047',0.165
'00:00:37.050',0.150
'00:00:37.053',0.145
'00:00:37.056',0.145
'00:00:37.058',0.155
'00:00:37.061',0.135
'00:00:37.064',0.130
'00:00:37.067',0.095
'00:00:37.069',0.105
'00:00:37.072',0.100
'00:00:37.075',0.105
'00:00:37.078',0.105
'00:00:37.081',0.105
'00:00:37.083',0.095
'00:00:37.086',0.090
'00:00:37.089',0.100
'00:00:37.092',0.105
'00:00:37.094',0.100
'00:00:37.097',0.115
'00:00:37.100',0.105
'00:00:37.103',0.100
'00:00:37.106',0.105
'00:00:37.108',0.125
'00:00:37.111',0.130
'00:00:37.114',0.145
'00:00:37.117',0.155
'00:00:37.119',0.150
'00:00:37.122',0.140
'00:00:37.125',0.150
'00:00:37.128',0.145
'00:00:37.131',0.155
'00:00:37.133',0.150
'00:00:37.136',0.165
'00:00:37.139',0.195
'00:00:37.142',0.210
'00:00:37.144',0.220
'00:00:37.147',0.220
'00:00:37.150',0.215
'00:00:37.153',0.220
'00:00:37.156',0.245
'00:00:37.158',0.250
'00:00:37.161',0.250
'00:00:37.164',0.250
'00:00:37.167',0.250
'00:00:37.169',0.265
'00:00:37.172',0.290
'00:00:37.175',0.285
'00:00:37.178',0.290
'00:00:37.181',0.295
'00:00:37.183',0.280
'00:00:37.186',0.265
'00:00:37.189',0.260
'00:00:37.192',0.260
'00:00:37.194',0.270
'00:00:37.197',0.275
'00:00:37.200',0.275
'00:00:37.203',0.265
'00:00:37.206',0.280
'00:00:37.208',0.290
'00:00:37.211',0.300
'00:00:37.214',0.290
'00:00:37.217',0.295
'00:00:37.219',0.290
'00:00:37.222',0.305
'00:00:37.225',0.300
'00:00:37.228',0.300
'00:00:37.231',0.305
'00:00:37.233',0.305
'00:00:37.236',0.285
'00:00:37.239',0.295
'00:00:37.242',0.300
'00:00:37.244',0.295
'00:00:37.247',0.290
'00:00:37.250',0.275
'00:00:37.253',0.270
'00:00:37.256',0.295
'00:00:37.258',0.310
'00:00:37.261',0.305
'00:00:37.264',0.290
'00:00:37.267',0.270
'00:00:37.269',0.265
'00:00:37.272',0.285
'00:00:37.275',0.285
'00:00:37.278',0.280
'00:00:37.281',0.285
'00:00:37.283',0.270
'00:00:37.286',0.260
'00:00:37.289',0.270
'00:00:37.292',0.275
'00:00:37.294',0.280
'00:00:37.297',0.275
'00:00:37.300',0.250
'00:00:37.303',0.260
'00:00:37.306',0.265
'00:00:37.308',0.270
'00:00:37.311',0.260
'00:00:37.314',0.255
'00:00:37.317',0.255
'00:00:37.319',0.260
'00:00:37.322',0.255
'00:00:37.325',0.275
'00:00:37.328',0.280
'00:00:37.331',0.275
'00:00:37.333',0.260
'00:00:37.336',0.250
'00:00:37.339',0.265
'00:00:37.342',0.270
'00:00:37.344',0.270
'00:00:37.347',0.260
'00:00:37.350',0.240
'00:00:37.353',0.235
'00:00:37.356',0.255
'00:00:37.358',0.260
'00:00:37.361',0.250
'00:00:37.364',0.255
'00:00:37.367',0.245
'00:00:37.369',0.235
'00:00:37.372',0.245
'00:00:37.375',0.260
'00:00:37.378',0.260
'00:00:37.381',0.250
'00:00:37.383',0.240
'00:00:37.386',0.240
'00:00:37.389',0.250
'00:00:37.392',0.260
'00:00:37.394',0.260
'00:00:37.397',0.260
'00:00:37.400',0.260
'00:00:37.403',0.260
'00:00:37.406',0.265
'00:00:37.408',0.270
'00:00:37.411',0.275
'00:00:37.414',0.255
'00:00:37.417',0.245
'00:00:37.419',0.250
'00:00:37.422',0.255
'00:00:37.425',0.275
'00:00:37.428',0.265
'00:00:37.431',0.265
'00:00:37.433',0.255
'00:00:37.436',0.245
'00:00:37.439',0.265
'00:00:37.442',0.280
'00:00:37.444',0.280
'00:00:37.447',0.265
'00:00:37.450',0.255
'00:00:37.453',0.275
'00:00:37.456',0.275
'00:00:37.458',0.280
'00:00:37.461',0.275
'00:00:37.464',0.280
'00:00:37.467',0.275
'00:00:37.469',0.270
'00:00:37.472',0.270
'00:00:37.475',0.265
'00:00:37.478',0.275
'00:00:37.481',0.270
'00:00:37.483',0.285
'00:00:37.486',0.265
'00:00:37.489',0.275
'00:00:37.492',0.285
'00:00:37.494',0.290
'00:00:37.497',0.290
'00:00:37.500',0.285
'00:00:37.503',0.290
'00:00:37.506',0.305
'00:00:37.508',0.310
'00:00:37.511',0.300
'00:00:37.514',0.305
'00:00:37.517',0.305
'00:00:37.519',0.290
'00:00:37.522',0.290
'00:00:37.525',0.310
'00:00:37.528',0.305
'00:00:37.531',0.285
'00:00:37.533',0.275
'00:00:37.536',0.280
'00:00:37.539',0.290
'00:00:37.542',0.310
'00:00:37.544',0.300
'00:00:37.547',0.305
'00:00:37.550',0.290
'00:00:37.553',0.285
'00:00:37.556',0.305
'00:00:37.558',0.310
'00:00:37.561',0.310
'00:00:37.564',0.310
'00:00:37.567',0.295
'00:00:37.569',0.290
'00:00:37.572',0.295
'00:00:37.575',0.310
'00:00:37.578',0.315
'00:00:37.581',0.295
'00:00:37.583',0.290
'00:00:37.586',0.270
'00:00:37.589',0.290
'00:00:37.592',0.295
'00:00:37.594',0.295
'00:00:37.597',0.300
'00:00:37.600',0.280
'00:00:37.603',0.285
'00:00:37.606',0.280
'00:00:37.608',0.295
'00:00:37.611',0.295
'00:00:37.614',0.285
'00:00:37.617',0.285
'00:00:37.619',0.285
'00:00:37.622',0.310
'00:00:37.625',0.310
'00:00:37.628',0.300
'00:00:37.631',0.305
'00:00:37.633',0.300
'00:00:37.636',0.305
'00:00:37.639',0.325
'00:00:37.642',0.325
'00:00:37.644',0.330
'00:00:37.647',0.345
'00:00:37.650',0.335
'00:00:37.653',0.350
'00:00:37.656',0.370
'00:00:37.658',0.370
'00:00:37.661',0.385
'00:00:37.664',0.385
'00:00:37.667',0.380
'00:00:37.669',0.375
'00:00:37.672',0.360
'00:00:37.675',0.360
'00:00:37.678',0.355
'00:00:37.681',0.345
'00:00:37.683',0.325
'00:00:37.686',0.310
'00:00:37.689',0.325
'00:00:37.692',0.320
'00:00:37.694',0.345
'00:00:37.697',0.335
'00:00:37.700',0.315
'00:00:37.703',0.320
'00:00:37.706',0.320
'00:00:37.708',0.310
'00:00:37.711',0.310
'00:00:37.714',0.290
'00:00:37.717',0.290
'00:00:37.719',0.280
'00:00:37.722',0.275
'00:00:37.725',0.285
'00:00:37.728',0.265
'00:00:37.731',0.260
'00:00:37.733',0.255
'00:00:37.736',0.250
'00:00:37.739',0.260
'00:00:37.742',0.275
'00:00:37.744',0.265
'00:00:37.747',0.260
'00:00:37.750',0.245
'00:00:37.753',0.260
'00:00:37.756',0.260
'00:00:37.758',0.260
'00:00:37.761',0.265
'00:00:37.764',0.260
'00:00:37.767',0.250
'00:00:37.769',0.240
'00:00:37.772',0.245
'00:00:37.775',0.255
'00:00:37.778',0.255
'00:00:37.781',0.245
'00:00:37.783',0.235
'00:00:37.786',0.245
'00:00:37.789',0.250
'00:00:37.792',0.265
'00:00:37.794',0.260
'00:00:37.797',0.255
'00:00:37.800',0.250
'00:00:37.803',0.255
'00:00:37.806',0.250
'00:00:37.808',0.250
'00:00:37.811',0.245
'00:00:37.814',0.240
'00:00:37.817',0.235
'00:00:37.819',0.235
'00:00:37.822',0.250
'00:00:37.825',0.255
'00:00:37.828',0.240
'00:00:37.831',0.185
'00:00:37.833',0.085
'00:00:37.836',-0.010
'00:00:37.839',-0.105
'00:00:37.842',-0.235
'00:00:37.844',-0.445
'00:00:37.847',-0.715
'00:00:37.850',-0.990
'00:00:37.853',-1.175
'00:00:37.856',-1.225
'00:00:37.858',-1.200
'00:00:37.861',-1.150
'00:00:37.864',-1.115
'00:00:37.867',-1.090
'00:00:37.869',-1.025
'00:00:37.872',-0.960
'00:00:37.875',-0.915
'00:00:37.878',-0.895
'00:00:37.881',-0.860
'00:00:37.883',-0.820
'00:00:37.886',-0.785
'00:00:37.889',-0.725
'00:00:37.892',-0.670
'00:00:37.894',-0.610
'00:00:37.897',-0.560
'00:00:37.900',-0.510
'00:00:37.903',-0.425
'00:00:37.906',-0.305
'00:00:37.908',-0.210
'00:00:37.911',-0.140
'00:00:37.914',-0.070
'00:00:37.917',0.010
'00:00:37.919',0.085
'00:00:37.922',0.140
'00:00:37.925',0.230
'00:00:37.928',0.280
'00:00:37.931',0.340
'00:00:37.933',0.380
'00:00:37.936',0.415
'00:00:37.939',0.445
'00:00:37.942',0.465
'00:00:37.944',0.480
'00:00:37.947',0.480
'00:00:37.950',0.475
'00:00:37.953',0.495
'00:00:37.956',0.515
'00:00:37.958',0.525
'00:00:37.961',0.535
'00:00:37.964',0.530
'00:00:37.967',0.535
'00:00:37.969',0.530
'00:00:37.972',0.545
'00:00:37.975',0.555
'00:00:37.978',0.555
'00:00:37.981',0.555
'00:00:37.983',0.540
'00:00:37.986',0.545
'00:00:37.989',0.555
'00:00:37.992',0.565
'00:00:37.994',0.565
'00:00:37.997',0.555
'00:00:38.000',0.560
'00:00:38.003',0.570
'00:00:38.006',0.585
'00:00:38.008',0.590
'00:00:38.011',0.585
'00:00:38.014',0.580
'00:00:38.017',0.575
'00:00:38.019',0.580
'00:00:38.022',0.595
'00:00:38.025',0.605
'00:00:38.028',0.595
'00:00:38.031',0.585
'00:00:38.033',0.575
'00:00:38.036',0.565
'00:00:38.039',0.595
'00:00:38.042',0.595
'00:00:38.044',0.610
'00:00:38.047',0.610
'00:00:38.050',0.590
'00:00:38.053',0.585
'00:00:38.056',0.600
'00:00:38.058',0.605
'00:00:38.061',0.605
'00:00:38.064',0.620
'00:00:38.067',0.605
'00:00:38.069',0.595
'00:00:38.072',0.615
'00:00:38.075',0.615
'00:00:38.078',0.605
'00:00:38.081',0.605
'00:00:38.083',0.600
'00:00:38.086',0.590
'00:00:38.089',0.595
'00:00:38.092',0.610
'00:00:38.094',0.600
'00:00:38.097',0.590
'00:00:38.100',0.575
'00:00:38.103',0.565
'00:00:38.106',0.580
'00:00:38.108',0.580
'00:00:38.111',0.580
'00:00:38.114',0.565
'00:00:38.117',0.555
'00:00:38.119',0.545
'00:00:38.122',0.565
'00:00:38.125',0.565
'00:00:38.128',0.555
'00:00:38.131',0.540
'00:00:38.133',0.515
